dataset,model,n_attacks,struct_attrs,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,2000,all,random,1,True,0.0089,0.0045,0.0133
ego-facebook,ggsd,2000,all,random,1,False,0.0,0.0,0.0013
ego-facebook,grum,2000,all,random,1,False,0.0,0.0,0.0013
ego-facebook,edge,2000,all,random,2,True,0.0029,0.0001,0.0057
ego-facebook,ggsd,2000,all,random,2,False,0.0,0.0,0.0013
ego-facebook,grum,2000,all,random,2,False,0.0,0.0,0.0013
ego-facebook,edge,2000,all,random,3,True,0.0159,0.01,0.0217
ego-facebook,ggsd,2000,all,random,3,False,0.0,0.0,0.0009
ego-facebook,grum,2000,all,random,3,True,0.0024,0.0,0.005
ego-facebook,edge,2000,all,random,4,True,0.0178,0.0113,0.0243
ego-facebook,ggsd,2000,all,random,4,False,0.0,0.0,0.0013
ego-facebook,grum,2000,all,random,4,True,0.0014,0.0,0.0036
ego-facebook,edge,2000,all,random,5,True,0.0158,0.0096,0.022
ego-facebook,ggsd,2000,all,random,5,True,0.0004,0.0,0.0021
ego-facebook,grum,2000,all,random,5,True,0.0009,0.0,0.0033
ego-twitter,edge,2000,all,random,1,True,0.0095,0.0048,0.0142
ego-twitter,ggsd,2000,all,random,1,False,0.0,0.0,0.0009
ego-twitter,grum,2000,all,random,1,True,0.0075,0.0033,0.0117
ego-twitter,edge,2000,all,random,2,True,0.031,0.0232,0.0388
ego-twitter,ggsd,2000,all,random,2,True,0.0,0.0,0.0014
ego-twitter,grum,2000,all,random,2,False,0.0,0.0,0.0014
ego-twitter,edge,2000,all,random,3,True,0.0195,0.013,0.026
ego-twitter,ggsd,2000,all,random,3,True,0.0,0.0,0.0
ego-twitter,grum,2000,all,random,3,True,0.0061,0.0,0.0133
ego-twitter,edge,2000,all,random,4,True,0.0496,0.0394,0.0599
ego-twitter,ggsd,2000,all,random,4,False,0.0,0.0,0.0
ego-twitter,grum,2000,all,random,4,True,0.0299,0.0193,0.0405
ego-twitter,edge,2000,all,random,5,True,0.0713,0.0592,0.0834
ego-twitter,ggsd,2000,all,random,5,True,0.0,0.0,0.0
ego-twitter,grum,2000,all,random,5,True,0.0413,0.031,0.0516
elliptic,edge,2000,all,random,1,False,0.0,0.0,0.0014
elliptic,ggsd,2000,all,random,1,False,0.0,0.0,0.0014
elliptic,edge,2000,all,random,2,True,0.0005,0.0,0.0022
elliptic,ggsd,2000,all,random,2,False,0.0,0.0,0.0014
elliptic,edge,2000,all,random,3,False,0.0,0.0,0.0014
elliptic,ggsd,2000,all,random,3,False,0.0,0.0,0.0014
elliptic,edge,2000,all,random,4,True,0.0045,0.0005,0.0085
elliptic,ggsd,2000,all,random,4,False,0.0,0.0,0.0014
elliptic,edge,2000,all,random,5,True,0.0035,0.0,0.0073
elliptic,ggsd,2000,all,random,5,False,0.0,0.0,0.0012
ego-facebook,spectre,2000,all,random,1,False,0.0,0.0,0.0011
ego-facebook,spectre,2000,all,random,2,False,0.0,0.0,0.0013
ego-facebook,spectre,2000,all,random,3,True,0.0029,0.0,0.006
ego-facebook,spectre,2000,all,random,4,True,0.0064,0.0026,0.0102
ego-facebook,spectre,2000,all,random,5,False,0.0,0.0,0.0006
ego-twitter,spectre,2000,all,random,1,True,0.0015,0.0,0.0044
ego-twitter,spectre,2000,all,random,2,True,0.0035,0.0,0.0113
ego-twitter,spectre,2000,all,random,3,True,0.0,0.0,0.0024
ego-twitter,spectre,2000,all,random,4,True,0.0111,0.0039,0.0182
ego-twitter,spectre,2000,all,random,5,True,0.0117,0.0024,0.0209
